WigleWifi-1.4,appRelease=2.25,model=LG-D722,release=5.0.2,device=jagnm,display=LRX22G.A1442060254,board=MSM8226,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:2e:19:28,Ariel_University,[ESS],2017-11-02 20:03:00,1,-69,32.10371276,35.20553737,658,14,WIFI
e0:10:7f:1a:9d:88,Ariel_University,[ESS],2017-11-02 20:03:00,11,-82,32.10371276,35.20553737,658,14,WIFI
e0:10:7f:1a:89:c8,Ariel_University,[ESS],2017-11-02 20:03:00,11,-90,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:5b:78,Ariel_University,[ESS],2017-11-02 20:03:00,11,-86,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:52:08,Ariel_University,[ESS],2017-11-02 20:03:00,6,-72,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:51:b8,Ariel_University,[ESS],2017-11-02 20:03:00,2,-78,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],2017-11-02 20:03:00,1,-88,32.10371276,35.20553737,658,14,WIFI
24:c9:a1:36:57:88,Ariel_University,[ESS],2017-11-02 20:03:00,11,-74,32.10371276,35.20553737,658,14,WIFI
e0:10:7f:1e:31:58,Ariel_University,[ESS],2017-11-02 20:03:00,1,-89,32.10371276,35.20553737,658,14,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2017-11-02 20:03:00,11,-90,32.10371276,35.20553737,658,14,WIFI
42503_6791_2105347,Pelephone,UNKNOWN;il,2017-11-02 20:03:00,0,-113,32.10371276,35.20553737,658,14,GSM
c4:12:f5:f5:43:b2,Elay,[WPA2-PSK-CCMP][ESS],2017-11-02 20:03:30,10,-88,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:33:3b:68,Ariel_University,[ESS],2017-11-02 20:03:30,6,-77,32.10393236,35.20518173,647,15,WIFI
8c:0c:90:2f:36:a8,Ariel_University,[ESS],2017-11-02 20:03:30,6,-65,32.10393236,35.20518173,647,15,WIFI
e0:10:7f:1a:9d:88,Ariel_University,[ESS],2017-11-02 20:03:30,11,-74,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:5b:78,Ariel_University,[ESS],2017-11-02 20:03:30,11,-79,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],2017-11-02 20:03:30,1,-79,32.10393236,35.20518173,647,15,WIFI
18:a6:f7:84:d1:7e,TP-LINK_Ariel,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 20:03:30,11,-69,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:33:3c:68,Ariel_University,[ESS],2017-11-02 20:03:30,1,-82,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-02 20:03:30,6,-85,32.10393236,35.20518173,647,15,WIFI
